,LOC,EOF1,EOF2,AR_CAT,EOF_CAT1,EOF_CAT2,EOF_CAT
2001-01-01 09:00:00,R03,0.6705220545768833,-0.15213134144716117,2,1,0,1
2001-01-30 09:00:00,R02,0.5515508189799422,0.5220183981708483,2,1,1,2
2001-02-22 09:00:00,R01,-0.2749709403971153,-0.35424211786940546,1,0,1,2
2001-02-26 09:00:00,R03,0.3842605825698003,0.3140109808781429,2,1,0,1
2001-12-06 09:00:00,R01,-0.03140012117158624,-0.6003623410208669,1,0,1,2
2002-01-11 09:00:00,R01,-0.646434651902601,-0.3099129861600215,3,1,0,1
2002-01-12 09:00:00,R01,-0.5857139874413712,-0.16672489395612147,3,1,0,1
2002-01-13 09:00:00,R01,-0.25011244538806104,-0.05699793728676388,3,0,0,0
2002-01-24 09:00:00,R03,0.04977797602000169,-0.08572398744028047,1,0,0,0
2002-02-11 09:00:00,R02,0.39182504126159373,-0.4335935176686536,1,1,1,2
2002-12-12 09:00:00,R01,-0.47227770485546816,0.06177398742029054,3,1,0,1
2002-12-13 09:00:00,R01,-0.5758127199815886,0.1238899195753177,3,1,0,1
2002-12-14 09:00:00,R01,-0.516361568346026,0.09400877874046594,3,1,0,1
2003-02-15 09:00:00,R01,-0.11914787312118924,0.34231519326516663,3,0,1,2
2003-02-16 09:00:00,R01,0.016927365930211023,0.6397613225441052,2,0,1,2
2003-02-17 09:00:00,R01/R02,0.16789854493797773,0.6503887952467425,2,0,1,2
2003-02-18 09:00:00,R02,0.3112946495015508,0.393471185665528,2,0,1,2
2003-02-19 09:00:00,R02,0.1861335051238488,-0.0015355331489026727,2,0,0,0
2003-02-21 09:00:00,R01,-0.12101924454597154,-0.1809555015408589,1,0,0,0
2003-02-27 09:00:00,R01,-0.3171551138393712,-0.015171224750038105,3,0,0,0
2003-12-06 09:00:00,R01,-0.4139777394131645,-0.3231023728842679,3,0,0,0
2003-12-07 09:00:00,R01,-0.07359510008726436,-0.057911832745054945,3,0,0,0
2003-12-16 09:00:00,R03,0.6692717154271133,-0.19803523883933516,2,1,0,1
2003-12-17 09:00:00,R03,0.5660273892809813,-0.33251979628072365,2,1,0,1
2004-01-08 09:00:00,R01,-0.005452099643727537,-0.5615613858002342,1,0,1,2
2004-01-15 09:00:00,R01,-0.09471848296804465,0.14826587980133143,3,0,0,0
2004-01-21 09:00:00,R02,0.6038427366533545,0.4054340821195432,2,1,1,2
2004-02-07 09:00:00,R01,-0.5444643252565514,-0.013156359298846428,3,1,0,1
2004-12-16 09:00:00,R01,-0.6991419689528553,0.005766822156994069,3,1,0,1
2004-12-17 09:00:00,R01,-0.48863746688880616,0.41385282945957985,3,1,1,2
2004-12-18 09:00:00,R01,0.044366330584128186,0.37153128586226175,2,0,1,2
2004-12-27 09:00:00,R01,0.10198444047918852,0.5469457055764119,2,0,1,2
2004-12-28 09:00:00,R01,0.25056198889486675,0.6088168709190175,2,0,1,2
2004-12-31 09:00:00,R01/R02,0.5300384669098337,0.4601081704758458,2,1,1,2
2005-01-01 09:00:00,R02,0.6236585597964377,0.3220967128082174,2,1,0,1
2005-01-28 09:00:00,R03,0.6111045107436414,0.46426260644851225,2,1,1,2
2005-01-29 09:00:00,R03,0.6947785198246144,0.42868872576195893,2,1,1,2
2005-01-31 09:00:00,R03,0.6367330810706386,0.15971801123013252,2,1,0,1
2005-02-01 09:00:00,R03,0.5664348234481716,0.05749019695776298,2,1,0,1
2005-02-09 09:00:00,R01,-0.14276585942667136,0.3819878836566498,3,0,1,2
2005-02-10 09:00:00,R01,-0.1861982987321497,0.38512092378017304,3,0,1,2
2005-02-12 09:00:00,R01/R02,-0.4105227649062446,-0.3614807026060483,1,0,1,2
2005-02-13 09:00:00,R01/R02/R03,-0.2562656340068951,-0.3074136666634571,1,0,0,0
2005-02-15 09:00:00,R02/R03,0.45728543134328486,0.21274022335539503,2,1,0,1
2005-12-26 09:00:00,R01,-0.1184609978174255,-0.06123999831931675,3,0,0,0
2006-01-14 09:00:00,R01,-0.29375463849907957,-0.036899201732929196,3,0,0,0
2006-01-15 09:00:00,R01/R02,-0.3489470331977326,0.3483689452478588,3,0,1,2
2006-01-16 09:00:00,R01/R02,-0.3017717706498551,0.4271833518736968,3,0,1,2
2006-01-17 09:00:00,R02,-0.3439078487658578,0.31024587857321306,3,0,0,0
2006-01-27 09:00:00,R01,-0.022781100846268897,0.15542334302931252,3,0,0,0
2006-01-28 09:00:00,R01,-0.2978188647279398,0.177927754664878,3,0,0,0
2006-02-10 09:00:00,R01,-0.017601144071217153,-0.03930328440805168,3,0,0,0
2006-02-16 09:00:00,R03,-0.13839384221370504,-0.3556756173046435,1,0,1,2
2006-02-17 09:00:00,R01/R02,-0.3801626422716415,0.06258828088609987,3,0,0,0
2006-02-24 09:00:00,R01,0.26495580177152556,0.6939768581627062,2,0,1,2
2006-02-25 09:00:00,R01,0.4693073237693216,0.6239515337925894,2,1,1,2
2006-12-03 09:00:00,R01,-0.08201649046345086,0.48972527296271784,3,0,1,2
2006-12-04 09:00:00,R01/R02,0.231077758900472,0.3512328601061996,2,0,1,2
2006-12-05 09:00:00,R02,0.2662873835890162,-0.15866277282950214,1,0,0,0
2007-01-17 09:00:00,R01,-0.5423408108431073,-0.08564011795129638,3,1,0,1
2007-02-10 09:00:00,R02,0.5355979677176629,0.047760971830118,2,1,0,1
2007-02-26 09:00:00,R01,-0.02541135377172741,0.07966916649468452,3,0,0,0
2007-02-27 09:00:00,R01,0.11696490576673432,0.039903566571423806,2,0,0,0
2007-02-28 09:00:00,R02,0.23871262271546242,-0.3655148940477859,1,0,1,2
2007-12-20 09:00:00,R01,-0.5371075527703245,0.06806112858755203,3,1,0,1
2008-01-07 09:00:00,R01,-0.15471447637252503,0.2785295122314903,3,0,0,0
2008-01-08 09:00:00,R01,-0.1698983814999289,0.3288429662945762,3,0,1,2
2008-01-09 09:00:00,R02,-0.0712938900762369,0.25848710958751686,3,0,0,0
2008-01-15 09:00:00,R01/R02,-0.3022960518565357,0.11990836556452895,3,0,0,0
2008-01-16 09:00:00,R01/R02,-0.08326327748413052,0.369102928235391,3,0,1,2
2008-01-20 09:00:00,R03,0.23960110950890937,-0.43639998946832326,1,0,1,2
2008-01-23 09:00:00,R03,0.42736240800438946,-0.4078423044468565,1,1,1,2
2008-01-24 09:00:00,R03,0.287351305927877,-0.44713047937507555,1,0,1,2
2008-01-25 09:00:00,R03,0.24819000735762434,-0.5396279446416808,1,0,1,2
2008-01-26 09:00:00,R03,0.0479745587598893,-0.6897814463827162,1,0,1,2
2008-02-08 09:00:00,R03,0.48466977424096874,-0.28539251263250576,2,1,0,1
2008-02-09 09:00:00,R03,0.5306192658449969,-0.2473113159136854,2,1,0,1
2008-02-20 09:00:00,R01,-0.5691035826316233,-0.1139672505191957,3,1,0,1
2008-02-21 09:00:00,R01,-0.43030755176856356,0.21842747203587778,3,1,0,1
2008-12-19 09:00:00,R01,0.20211375618478017,0.6910265762623341,2,0,1,2
2008-12-20 09:00:00,R02,0.3418177492947829,0.35351662235522446,2,0,1,2
2009-01-03 09:00:00,R01,-0.04199177211759474,0.24222286579749902,3,0,0,0
2009-12-09 09:00:00,R01,-0.0435942866302298,0.00812055497048763,3,0,0,0
2010-01-12 09:00:00,R03,0.595174708051521,0.25220531845971994,2,1,0,1
2010-01-13 09:00:00,R03,0.5314253049534657,0.007108011664662744,2,1,0,1
2010-02-05 09:00:00,R01,-0.22949503165391671,-0.3827804681005266,1,0,1,2
2010-02-06 09:00:00,R01,-0.17902236357850196,-0.1122911540906852,3,0,0,0
2010-02-07 09:00:00,R01,0.12261774731180845,0.12160701955294634,2,0,0,0
2010-02-08 09:00:00,R01/R02,0.514118978734654,0.06815518016366832,2,1,0,1
